Site code;Site name;Country code;Scenario today
AAC1;Bloomfield (CT) (AAC1);US;ENERGY
AAE1;Annaba (AAE1);DZ;STAY
ABD1;Aberdeen (Hong Kong) (ABD1);HK;STAY
ABV2;Abuja (ABV2);NG;ENERGY
ABZ1;Alcobendas Valgrande 8 (ABZ1);ES;ENERGY
ABZ2;Alcobendas Valgrande 25 (ABZ2);ES;ENERGY
ACC1;Accra (ACC1);GH;ENERGY
ACN1;Cliffside (Duke) (NC) (ACN1);US;ENERGY
ADD1;Addis Ababa (ADD1);ET;ENERGY
ADZ1;Ashby de la Zouch (ADZ1);GB;ENERGY
AFL1;Archerfield (AFL1);AU;ENERGY
AGC1;Bear (DE) (AGC1);US;STAY
AGP3;Malaga Campanillas (Power plant) (AGP3);ES;ENERGY
AGP4;Malaga Campanillas (Signalling) (AGP4);ES;STAY
AHD1;Hidd (AHD1);BH;ENERGY
AKF1;Akhfenir (AKF1);MA;ENERGY
ALA2;Almaty (ALA2);KZ;ENERGY
ALB1;Saint-Alban (C. Nucleaire) (ALB1);FR;ENERGY
ALD1;CSC Aldershot (ALD1);GB;ENERGY
ALG1;Alger (ALG1);DZ;STAY
ALG2;Alger (tramway Les Bananiers) (ALG2);DZ;STAY
ALG3;Bordj el Kiffan (ALG3);DZ;STAY
ALI1;Alba-Iulia (48 Vladimirescu) (ALI1);RO;STAY
ALK1;Al Khobar (ALK1);SA;ENERGY
ALS1;Alvsjo (ALS1);SE;STAY
ALU1;Kochi (Guest House) (ALU1);IN;STAY
AMA1;Amarillo (Benchmark St) (TX) (AMA1);US;ENERGY
AMD1;Ahmedabad (AMD1);IN;ENERGY
AMI1;Amiens (AMI1);FR;ENERGY
AMM1;Amman (AMM1);JO;ENERGY
AMN1;Amontada (AMN1);BR;ENERGY
AMS2;Amsterdam (AMS2);NL;STAY
AMW1;Rhyd-y-Groes (AMW1);GB;ENERGY
ANK3;Ankara (ANK3);TR;MOVE AT
ANR1;Antwerpen (ANR1);BE;STAY
ARW1;Arad (ARW1);RO;STAY
ASA1;Ashalim (ASA1);IL;ENERGY
ASB2;Ashkhabad (ASB2);TM;ENERGY
AST1;Soto de Ribera (AST1);ES;ENERGY
AST4;Astana (2 Dostyk St) (AST4);KZ;STAY
AST6;Astana (Aspara St) (AST6);KZ;STAY
ATH1;Athens (ATH1);GR;SPLIT
ATL2;Atlanta Marta (GA) (ATL2);US;STAY
AUH1;Abu Dhabi (Airport Rd 13th Floor) (AUH1);AE;ENERGY
AVS2;CSC Asturias (AVS2);ES;ENERGY
AXB1;Aix les Bains (AXB1);FR;ENERGY
BAD1;Baden (BAD1);CH;MOVE AT
BAK1;Baku (BAK1);AZ;MOVE AT
BAS1;Bassens (BAS1);FR;ENERGY
BBI1;Bhubaneswar (BBI1);IN;ENERGY
BCN3;Barcelona Sagrera (BCN3);ES;STAY
BCN4;Barcelona Roc Boronat (BCN4);ES;TBD - To be defined
BCN5;Barcelona Can Tunis (BCN5);ES;STAY
BCN6;Barcelona Inbisa (BCN6);ES;SPLIT
BCN7;CSC Barcelona (BCN7);ES;ENERGY
BCN8;Barcelona Altran (BCN8);ES;ENERGY
BCN9;Barcelona Arghos (BCN9);ES;ENERGY
BDO1;Bandung (BDO1);ID;STAY
BDQ2;Maneja (Vadodara) (BDQ2);IN;TBD - To be defined
BDQ3;Vadodara (Kotambi Village) (BDQ3);IN;ENERGY
BDQ4;Vadodara (Vanijya Bhavan) (BDQ4);IN;ENERGY
BDQ5;Ratanpur (BDQ5);IN;ENERGY
BEG1;Belgrade (BEG1);RS;TBD - To be defined
BEL1;Belleville (C. Nucleaire) (BEL1);FR;ENERGY
BER2;Berlin (Friedrichstrasse) (BER2);DE;STAY
BER3;Berlin (Hertzstrasse) (BER3);DE;ENERGY
BER5;Berlin (Gradestrasse) (BER5);DE;ENERGY
BEV1;Beer Sheba (BEV1);IL;TBD - To be defined
BEX1;Bexbach (BEX1);DE;ENERGY
BEY1;Beirut (BEY1);LB;ENERGY
BGL1;Bergisch Gladbach (BGL1);DE;ENERGY
BGW1;Baghdad (BGW1);IQ;TBD - To be defined
BHM2;Birmingham (Broad Street) (BHM2);GB;STAY
BHM3;Birmingham (Meridian) (BHM3);GB;STAY
BHMA;Birmingham (AL) (BHMA);US;ENERGY
BIR1;Birr (BIR1);CH;ENERGY
BJS1;Beijing (Sanlitun) (BJS1);CN;SPLIT
BJS2;Beijing (Wujiacun) (BJS2);CN;ENERGY
BJS4;Beijing (Yuetan North) (BJS4);CN;STAY
BJSB;Beijing (Jinxiu St.) (BJSB);CN;ENERGY
BJSC;Beijing (Kechuang) (BJSC);CN;ENERGY
BJSD;Beijing (Wuliqiao) (BJSD);CN;STAY
BKK1;Bangkok (BKK1);TH;MOVE AT
BKK2;Bang Bo (BKK2);TH;ENERGY
BKK3;Chom Thong (BKK3);TH;STAY
BKK4;North Bangkok (BKK4);TH;TBD - To be defined
BLA1;Blayais (C. Nucleaire) (BLA1);FR;ENERGY
BLA2;Craciunelu (BLA2);RO;STAY
BLQ1;Bologna (BLQ1);IT;STAY
BLR1;Bangalore (BLR1);IN;STAY
BLR2;Bangalore (Vittal Mallya Rd) (BLR2);IN;ENERGY
BLR3;Bangalore (Shape) (BLR3);IN;ENERGY
BLR4;Bangalore (Infotech) (BLR4);IN;STAY
BNO1;Central Rivers (BNO1);GB;STAY
BOB1;Bobigny (SNCF) (BOB1);FR;STAY
BOD1;Bordeaux (BOD1);FR;STAY
BOD2;Bordeaux (Locos) (BOD2);FR;STAY
BOG1;Bogota (BOG1);CO;MOVE AT
BOM1;Mumbai (BOM1);IN;TBD - To be defined
BOM2;Mumbai (Magnet House) (BOM2);IN;ENERGY
BOM3;Mumbai (Churchgate) (BOM3);IN;ENERGY
BOR1;Belfort (BOR1);FR;SPLIT
BOS1;Boston (MA) (BOS1);US;STAY
BOT1;Botlek (Hartelkanaal) (BOT1);NL;ENERGY
BOX2;Vallee du Moulin 1 (BOX2);FR;ENERGY
BOX4;Boxholm (BOX4);SE;STAY
BQA1;Ballarat (BQA1);AU;STAY
BRE1;Bremen (BRE1);DE;ENERGY
BRI1;Bari (BRI1);IT;STAY
BRI2;Minervino (BRI2);IT;ENERGY
BRL1;Burlington (Harrington Ct) (BRL1);CA;ENERGY
BRL2;Burlington (South Sce Rd) (BRL2);CA;ENERGY
BRQ1;Brno (BRQ1);CZ;TBD - To be defined
BRR1;Barendrecht (BRR1);NL;ENERGY
BRS1;Bristol (BRS1);GB;TBD - To be defined
BRT1;Brotas de Macaœbas (BA) (BRT1);BR;ENERGY
BRU1;Bruxelles (HQ) (BRU1);BE;STAY
BRU2;Bruxelles (Cortenbergh) (BRU2);BE;ENERGY
BRY1;Brondby (BRY1);DK;ENERGY
BSE1;Tzafit (BSE1);IL;ENERGY
BSF1;Terga (Benisaf) (BSF1);DZ;TBD - To be defined
BSL1;Borgo San Lorenzo (BSL1);IT;STAY
BTS1;Bratislava (BTS1);SK;ENERGY
BTS3;Bratislava (Shape) (BTS3);SK;ENERGY
BUD1;Budapest (Vaci Str 152) (BUD1);HU;SPLIT
BUD2;Budapest (Vaci Str 22) (BUD2);HU;STAY
BUE1;Buenos Aires (San Martin) (BUE1);AR;SPLIT
BUE2;Buenos Aires (Dock Sud) (BUE2);AR;ENERGY
BUE3;Buenos Aires (San Antonio) (BUE3);AR;STAY
BUE4;Buenos Aires (Independencia) (BUE4);AR;STAY
BUE5;Buenos Aires (Alicia Moreau) (BUE5);AR;TBD - To be defined
BUG1;Bugey (C. Nucleaire) (BUG1);FR;ENERGY
BUH2;Bucharest (104, Berceni) (BUH2);RO;ENERGY
BUH3;Bucharest (15B, Preciziei) (BUH3);RO;STAY
BUH4;Bucharest (1, Cantemir) (BUH4);RO;TBD - To be defined
BUH5;Bucharest (47 Fabricii) (BUH5);RO;STAY
BUH7;Bucharest (243 Berceni) (BUH7);RO;STAY
BUH8;Bucharest (499 Pantelimon) (BUH8);RO;STAY
BUHA;Bucharest (Splaiul Independentei) (BUHA);RO;ENERGY
BUHB;Bucharest (Shape) (BUHB);RO;ENERGY
BUHC;Bucharest (32 Razoare) (BUHC);RO;STAY
BUR2;Las Loras (BUR2);ES;ENERGY
BUR4;Valbuena (BUR4);ES;ENERGY
BWE1;Braunschweig (BWE1);DE;STAY
BWE2;Braunschweig (Stobwasserstr.) (BWE2);DE;TBD - To be defined
BZG1;Bydgoszcz (BZG1);PL;ENERGY
BZGn;Bydgoszcz (Nemo) (BZGn);PL;ENERGY
CAI1;Cairo (CAI1);EG;SPLIT
CAL2;Calgary (McLeod Trail) (CAL2);CA;ENERGY
CAL4;Calgary (29th street North East) (CAL4);CA;ENERGY
CAL5;Calgary (10th Street NE) (CAL5);CA;ENERGY
CAN2;Guangzhou (Linhe Zhong Road) (CAN2);CN;ENERGY
CAR1;Cartagena (CAR1);ES;TBD - To be defined
CAS3;Casablanca (Shadow) (CAS3);MA;MOVE AT
CAS4;Casablanca (CDM) (CAS4);MA;STAY
CAS6;Casablanca (HUB) (CAS6);MA;STAY
CAS7;Casablanca (EMIC) (CAS7);MA;STAY
CAS8;Casablanca (Bld Abdelmoumen) (CAS8);MA;ENERGY
CASn;Casablanca (Nemo) (CASn);MA;ENERGY
CAX1;Carlisle TCP (CAX1);GB;STAY
CCO1;Canton (OH) (CCO1);US;ENERGY
CCS1;Caracas (Torre Orinoco) (CCS1);VE;SPLIT
CCU1;Kolkata (CCU1);IN;ENERGY
