Server.Name;Function;Type;Sub.Function;Server.IP;In.SID.;Status;Site.code;Administrated.by;OS.Name
AAPBWC;Application;Virtual;Database Server;10.128.72.179;Yes;Active;BAD1;CSC;AIX
ABP-VPDM;Application;Physical;Not applicable;10.99.142.16;Yes;Active;BJS2;CSC;HP-UX
ACECTRA4;Application;Physical;Database Server;10.79.2.31;Yes;Active;CRL1;CSC;HP-UX
ACECTRA6;Application;Physical;Not applicable;10.79.2.36;Yes;Active;CRL1;CSC;HP-UX
AIOLI;Application;Physical;Not applicable;10.23.208.15;Yes;Active;VBN1;CSC;SunOS
ALSTOM-CH;Application;Virtual;Not applicable;10.128.86.100;Yes;Active;BAD1;CSC;SunOS
ALSTOM1;Application;Virtual;Not applicable;10.128.86.110;Yes;Active;BAD1;CSC;SunOS
ALTI;Application;Virtual;Database Server;10.255.150.50;Yes;Active;CCH1;CSC;AIX
AMPERIE;Application;Physical;Not applicable;10.18.0.180;Yes;Active;CCH1;CSC;SunOS
APABB;Application;Physical;Not applicable;10.197.128.202;Yes;Active;ELB1;CSC;SunOS
ARTHUR;Application;Virtual;Not applicable;10.255.250.89;Yes;Active;GUC1;CSC;AIX
AS-PROXYLOG01;Utility;Physical;E-mail Services;10.18.1.203;Yes;Active;CCH1;CSC;linux
BAAN4V;Application;Virtual;Not applicable;10.180.119.2;Yes;Active;BUD1;CSC;linux
BALOR;Application;Virtual;Active Directory Domain Controller Server;10.34.114.246;Yes;Active;RUG1;CSC;SunOS
BAN;Application;Physical;Not applicable;10.218.119.20;Yes;Active;KAR1;CSC;AIX
BAN-ARHIVA;Application;Physical;Not applicable;10.218.119.19;Yes;Active;KAR1;CSC;AIX
BAOBAB;Application;Physical;Database Server;10.18.146.243;Yes;Active;GNB1;CSC;SunOS
BDN-CPSP03;Infrastructure;Physical;Not applicable;10.238.87.015;Yes;Active;BAD1;CSC;linux
BDN-LNACOI02;Application;Physical;Lotus Notes Server;10.128.76.181;Yes;Active;BAD1;CSC;linux
BELL;Application;Virtual;Not applicable;10.255.247.66;Yes;Active;GUC1;CSC;AIX
BRESIL;Application;Physical;Not applicable;10.23.144.48;Yes;Active;REI1;CSC;SunOS
BURI;Application;Virtual;Database Server;10.255.150.52;Yes;Active;CCH1;CSC;AIX
BWS-S1;Application;Virtual;Database Server;10.128.72.166;Yes;Active;RMA1;CSC;AIX
BWS-S2;Application;Virtual;Not applicable;10.128.72.175;Yes;Active;RMA1;CSC;AIX
CANTON;Application;Virtual;Database Server;10.255.250.40;Yes;Active;GUC1;CSC;AIX
CEDRE;Application;Physical;Not applicable;10.18.145.3;Yes;Active;GNB1;CSC;SunOS
CELSIUS;Application;Virtual;Database Server;10.255.150.201;Yes;Active;CCH1;CSC;AIX
CEYLAN;Application;Virtual;Not applicable;10.239.4.211;Yes;Active;CCH1;CSC;SunOS
CNSHA01AS06LX;Application;Physical;Not applicable;10.98.180.9;Yes;Active;SHA7;CSC;linux
COLUMBO;Application;Physical;Not applicable;10.79.3.4;Yes;Active;CRL1;CSC;SunOS
COMPAQVIDEOP1120;Application;Physical;Not applicable;39.1.1.7;Yes;Active;BLQ1;CSC;SunOS
CONIX;Application;Physical;Infosec Services;10.23.48.110;Yes;Active;CCH1;CSC;HP-UX
COOK;Application;Virtual;Web Server;10.255.250.191;Yes;Active;GUC1;CSC;AIX
COPERNIC;Application;Virtual;Database Server;10.255.150.202;Yes;Active;CCH1;CSC;AIX
CORTES;Application;Virtual;Not applicable;10.255.250.189;Yes;Active;GUC1;CSC;AIX
CSWUH020;Application;Physical;Not applicable;10.99.133.6;Yes;Active;WUH2;CSC;HP-UX
CUBAD10231;Application;Physical;Not applicable;10.128.172.216;Yes;Active;BAD1;CSC;linux
CURIE;Application;Virtual;Database Server;10.255.150.125;Yes;Active;CCH1;CSC;AIX
DBSERV;Application;Physical;Not applicable;10.23.128.34;Yes;Active;ONS1;CSC;linux
DBTA05;Application;Physical;Not applicable;10.18.0.185;Yes;Active;CCH1;CSC;SunOS
DBTA06;Application;Physical;Not applicable;10.18.0.186;Yes;Active;CCH1;CSC;SunOS
DDSC;Application;Physical;Not applicable;10.79.2.70;Yes;Active;CRL1;CSC;HP-UX
DEVUK001;Application;Physical;Not applicable;10.32.128.101;Yes;Active;SRD2;CSC;HP-UX
