Hostname;ServerFunction;Type;SubFunction;IPServer;InSID;ServerStatus;SiteCode;AdministratedBy;OSName;ToCollectInit;ToCollectLast
abp-vpdm;Application;Physical;Not applicable;10.99.142.16;Yes;Active;BJS2;CSC;HP-UX;true;true
null;Utility;null;null;10.178.104.52;null;Active;null;null;null;false;false
null;Application;null;null;10.165.16.17;null;Active;null;null;null;false;false
null;Application;null;null;10.162.135.24;null;Active;null;null;null;false;false
null;Application;null;null;10.238.4.162;null;Active;null;null;null;false;false
null;Application;null;null;10.255.249.83;null;Active;null;null;null;false;false
null;Application;null;null;10.65.0.206;null;Active;null;null;null;false;false
null;Application;null;null;10.99.142.12;null;Active;null;null;null;false;false
ban-arhiva;Application;Physical;Not applicable;10.218.119.19;Yes;Active;KAR1;CSC;AIX;true;true
null;Application;null;null;10.128.30.92;null;Active;null;null;null;false;false
bell;Application;Virtual;Not applicable;10.255.247.66;Yes;Active;GUC1;CSC;AIX;true;true
null;Application;null;null;10.129.191.40;null;Active;null;null;null;false;false
bresil;Application;Physical;Not applicable;10.23.144.48;Yes;Active;REI1;CSC;SunOS;true;true
null;;null;null;10.34.132.42;null;Active;null;null;null;false;false
null;Application;null;null;10.164.170.10;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.130.42.22;null;Active;null;null;null;false;false
null;Application;null;null;10.130.32.46;null;Active;null;null;null;false;false
null;Utility;null;null;10.98.136.6;null;Active;null;null;null;false;false
null;Application;null;null;10.98.188.52;null;Active;null;null;null;false;false
null;Application;null;null;10.100.0.5;null;Active;null;null;null;false;false
copernic;Application;Virtual;Database Server;10.255.150.202;Yes;Active;CCH1;CSC;AIX;true;true
cortes;Application;Virtual;Not applicable;10.255.250.189;Yes;Active;GUC1;CSC;AIX;true;true
null;Application;null;null;10.164.134.30;null;Active;null;null;null;false;false
null;Application;null;null;10.238.248.34;null;Active;null;null;null;false;false
null;Application;null;null;10.139.143.46;null;Active;null;null;null;false;false
null;Application;null;null;10.177.244.20;null;Active;null;null;null;false;false
null;Application;null;null;10.53.76.81;null;Active;null;null;null;false;false
null;Utility;null;null;10.53.196.38;null;Active;null;null;null;false;false
null;Application;null;null;10.53.56.10;null;Active;null;null;null;false;false
null;Application;null;null;10.53.49.116;null;Active;null;null;null;false;false
null;Application;null;null;10.53.49.150;null;Active;null;null;null;false;false
null;Application;null;null;10.160.49.23;null;Active;null;null;null;false;false
erp-v47-s2;Application;Virtual;Database Server;10.128.72.174;Yes;Active;BAD1;CSC;AIX;true;true
null;Application;null;null;10.216.116.110;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.249.97.45;null;Active;null;null;null;false;false
null;Application;null;null;10.249.97.150;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.249.97.104;null;Active;null;null;null;false;false
null;Application;null;null;10.249.103.240;null;Active;null;null;null;false;false
null;Utility;null;null;10.22.241.68;null;Active;null;null;null;false;false
null;Utility;null;null;10.255.147.50;null;Active;null;null;null;false;false
null;Utility;null;null;10.255.147.60;null;Active;null;null;null;false;false
null;Utility;null;null;10.255.147.85;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.255.249.88;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.255.142.147;null;Active;null;null;null;false;false
frdtc01ws84lx;Infrastructure;Virtual;Not applicable;10.255.149.28;Yes;Active;CCH1;CSC;linux;true;false
null;Application;null;null;10.22.140.110;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.249.123.30;null;Active;null;null;null;false;false
null;Application;null;null;10.32.128.165;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.32.140.22;null;Active;null;null;null;false;false
null;Application;null;null;10.32.128.182;null;Active;null;null;null;false;false
gec10;Application;Physical;Not applicable;10.23.4.133;Yes;Active;OUS1;CSC;SunOS;true;true
null;Application;null;null;10.218.10.58;null;Active;null;null;null;false;false
null;Application;null;null;10.218.10.65;null;Active;null;null;null;false;false
null;Application;null;null;10.177.103.19;null;Active;null;null;null;false;false
null;Application;null;null;10.153.6.22;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.177.228.23;null;Active;null;null;null;false;false
null;Application;null;null;10.3.34.85;null;;null;null;null;false;false
null;Application;null;null;10.2.34.80;null;Active;null;null;null;false;false
null;Application;null;null;10.107.138.195;null;Active;null;null;null;false;false
null;Utility;null;null;10.104.152.126;null;Active;null;null;null;false;false
null;Utility;null;null;10.106.128.59;null;Active;null;null;null;false;false
null;Application;null;null;10.106.128.78;null;Active;null;null;null;false;false
null;Application;null;null;10.104.224.57;null;Active;null;null;null;false;false
null;Application;null;null;10.104.224.62;null;Active;null;null;null;false;false
null;Application;null;null;10.104.160.26;null;Active;null;null;null;false;false
null;Application;null;null;10.104.193.56;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.114.132.15;null;Active;null;null;null;false;false
null;Application;null;null;10.114.132.6;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.167.23.11;null;Active;null;null;null;false;false
null;Application;null;null;10.193.112.90;null;Active;null;null;null;false;false
null;Application;null;null;10.131.31.14;null;Active;null;null;null;false;false
lic104;Application;Physical;Not applicable;10.238.146.104;Yes;Active;BAD1;CSC;linux;true;true
lic113;Application;Physical;Not applicable;10.238.146.113;Yes;Active;BAD1;CSC;linux;true;true
lic122;Application;Physical;Not applicable;10.238.146.122;Yes;Active;BAD1;CSC;linux;true;true
lic131;Application;Physical;Not applicable;10.238.146.131;Yes;Active;BAD1;CSC;linux;true;true
lic140;Application;Physical;Not applicable;10.238.146.140;Yes;Active;BAD1;CSC;linux;true;true
null;Application;null;null;10.169.16.21;null;Active;null;null;null;false;false
lpar202;Infrastructure;Virtual;Not applicable;10.255.251.6;Yes;Active;GUC1;CSC;AIX;true;false
null;Utility;null;null;10.23.208.7;null;Active;null;null;null;false;false
null;Application;null;null;10.163.64.52;null;Active;null;null;null;false;false
