Servers;Server Type; Remarks
SARMA10001;RMA1;done
SARMA10004;RMA1;done
SARMA15013;RMA1;done
SARMA10011;RMA1;done
SARMA15029;RMA1;done
SARMA15030;RMA1;done
SARMA15031;RMA1;done
SARMA15033;RMA1;done
SARMA15034;RMA1;done
SARMA15035;RMA1;done
SURMA15999;RMA1;done
SARMA15192;RMA1;done
SARMA15193;RMA1;done
SARMA15194;RMA1;done
SARMA10658;RMA1;done
SBRMA15196;RMA1;done
SARMA15718;RMA1;done
SARMA15196;RMA1;done
SARMA15201;RMA1;done
SARMA15202;RMA1;done
SARMA15203;RMA1;done
SARMA15204;RMA1;done
SARMA15205;RMA1;done
SARMA15206;RMA1;done
SARMA15207;RMA1;done
SBRMA15197;RMA1;done
SARMA15208;RMA1;done
SARMA15209;RMA1;done
SARMA15210;RMA1;done
SARMA15211;RMA1;done
SARMA15212;RMA1;done
SARMA15213;RMA1;done
SBRMA15214;RMA1;done
SBRMA15215;RMA1;done
SACCH10426;CCH1;done
SACCH10421;CCH1;done
SACCH10424;CCH1;done
SACCH10448;CCH1;done
SACCH10447;CCH1;done
sacch10453;CCH1;done
SACCH10452;CCH1;done
SACCH10450;CCH1;done
SACCH10458;CCH1;done
sacch10459;CCH1;SSH-connection issue
SACCH10449;CCH1;done
SACCH10451;CCH1;done
SACCH10470;CCH1;done
SACCH10469;CCH1;done
SACCH10468;CCH1;done
SACCH10467;CCH1;done
SACCH10481;CCH1;done
SACCH10482;CCH1;done
SACCH10498;CCH1;done
SACCH10499;CCH1;done
SACCH10500;CCH1;done
SACCH10501;CCH1;done
SACCH10496;CCH1;done
SACCH10494;CCH1;done
SACCH15856;CCH1;done
SACCH10509;CCH1;done
SACCH15542;CCH1;done
SACCH15553;CCH1;done
SACCH15004;CCH1;done
SACCH15005;CCH1;done
SACCH15555;CCH1;done
SACCH15554;CCH1;done
SACCH15006;CCH1;done
SBCCH15585;CCH1;done
SACCH15008;CCH1;done
SACCH15009;CCH1;done
SACCH15012;CCH1;done
SACCH15013;CCH1;done
SACCH15015;CCH1;done
SACCH15022;CCH1;done
SACCH15023;CCH1;done
SACCH15024;CCH1;done
SACCH15025;CCH1;done
SACCH10542;CCH1;done
SNCCH10547;CCH1;done
SNCCH10548;CCH1;done
SACCH15614;CCH1;done
SACCH15069;CCH1;done
SACCH10653;CCH1;done
SACCH15569;CCH1;done
SACCH15616;CCH1;done
SACCH15617;CCH1;done
SACCH15570;CCH1;Password Prompt
SACCH10553;CCH1;done
SACCH10554;CCH1;done
SACCH15099;CCH1;done
SACCH15100;CCH1;done
SACCH15101;CCH1;done
SACCH15622;CCH1;done
SACCH15636;CCH1;done
SACCH10654;CCH1;done
SACCH15638;CCH1;done
SACCH15639;CCH1;done
SACCH15637;CCH1;done
SACCH15623;CCH1;done
SACCH15624;CCH1;done
SACCH15651;CCH1;done
SACCH15652;CCH1;done
SACCH15653;CCH1;done
SACCH15654;CCH1;done
SBCCH15655;CCH1;done
SBCCH15656;CCH1;done
SACCH15657;CCH1;done
SACCH15658;CCH1;done
SACCH15663;CCH1;done
SACCH15664;CCH1;done
SACCH15665;CCH1;done
SACCH15666;CCH1;done
SACCH15668;CCH1;done
SACCH15667;CCH1;done
SACCH15669;CCH1;done
SACCH15670;CCH1;done
SACCH15690;CCH1;done
SACCH15697;CCH1;done
SACCH15698;CCH1;done
SACCH15699;CCH1;done
SACCH15706;CCH1;done
SACCH15707;CCH1;done
SACCH15708;CCH1;done
SACCH15709;CCH1;done
SACCH15857;CCH1;done
SACCH15858;CCH1;done
SACCH15710;CCH1;done
SACCH15711;CCH1;done
SACCH15712;CCH1;done
SACCH15713;CCH1;done
SACCH15520;CCH1;done
SACCH15521;CCH1;done
SACCH15522;CCH1;done
SACCH15523;CCH1;done
SACCH15524;CCH1;done
SBCCH10731;CCH1;done
SBCCH10732;CCH1;done
SBCCH10733;CCH1;done
SBCCH10734;CCH1;done
SACCH15727;CCH1;done
SACCH15728;CCH1;done
SACCH15000;CCH1;done
SFCCH15767;CCH1;done
SACCH15001;CCH1;Password Prompt
SACCH15768;CCH1;done
SACCH15769;CCH1;done
SACCH15770;CCH1;done
SACCH15771;CCH1;done
SACCH15745;CCH1;done
SACCH15772;CCH1;done
SACCH15773;CCH1;done
SACCH15701;CCH1;done
SACCH15702;CCH1;done
SACCH15704;CCH1;done
SACCH15705;CCH1;done
SACCH15779;CCH1;done
SFCCH15781;CCH1;done
SACCH15157;CCH1;done
SACCH15158;CCH1;done
SACCH15421;CCH1;done
SACCH15425;CCH1;done
SBCCH15756;CCH1;done
SBCCH15757;CCH1;done
SBCCH15121;CCH1;done
SACCH15160;CCH1;done
SACCH15161;CCH1;done
SACCH15162;CCH1;done
SACCH15163;CCH1;done
SACCH15178;CCH1;done
SACCH15179;CCH1;done
SACCH15180;CCH1;done
SBCCH15126;CCH1;done
SACCH15164;CCH1;done
SACCH15165;CCH1;done
SACCH15166;CCH1;done
SACCH15167;CCH1;done
SACCH15168;CCH1;done
SACCH15169;CCH1;done
SACCH15170;CCH1;done
SACCH15171;CCH1;done
SACCH15172;CCH1;done
SACCH15173;CCH1;done
SACCH15174;CCH1;done
SACCH15175;CCH1;done
SACCH15177;CCH1;done
SACCH15613;CCH1;done
SABAD11085;BAD1;done
SABAD11133;BAD1;done
SABAD11135;BAD1;done
SABAD11137;BAD1;done
SABAD11139;BAD1;done
SABAD11146;BAD1;done
SABAD11154;BAD1;done
SABAD11156;BAD1;done
SABAD11157;BAD1;ssh: Could not resolve hostname SABAD11157: Name or service not known
SABAD11167;BAD1;done
SABAD11189;BAD1;done
SABAD11190;BAD1;done
SABAD11192;BAD1;ssh: connect to host 10.238.38.92 port 22: No route to host
SABAD11153;BAD1;done
SABAD11209;BAD1;done
SABAD11210;BAD1;done
SABAD11211;BAD1;done
SABAD11212;BAD1;done
SABAD11213;BAD1;done
SABAD11214;BAD1;done
sabad11121;BAD1;done
SABAD10541;BAD1;done
SABAD10941V;BAD1;done
SABAD11025;BAD1;done
SABAD11084;BAD1;done
SABAD11168;BAD1;done
SABAD11197;BAD1;done
SBBAD19175;BAD1;done
SABAD11227;BAD1;done
SBBAD19180;BAD1;done
SABAD11354;BAD1;done
SABAD11355;BAD1;done
SABAD11357;BAD1;done
SABAD11359;BAD1;done
SABAD10290;BAD1;done
SABAD11217;BAD1;done
SABAD11360;BAD1;done
SBBAD11361;BAD1;done
SBBAD11362;BAD1;done
SBBAD11363;BAD1;done
SABAD11218;BAD1;done
SABAD11240;BAD1;done
SABAD18999;BAD1;done
SABAD18997;BAD1;done
SABAD18998;BAD1;done
SABAD11010;BAD1;done
SABAD11247;BAD1;done
SABAD11248;BAD1;done
SABAD11249;BAD1;done
SABAD11250;BAD1;done
SABAD11251;BAD1;done
SABAD11260;BAD1;done
SBBAD19181;BAD1;done
SBBAD19182;BAD1;done
SABAD11261;BAD1;done
SABAD11262;BAD1;done
SBBAD19183;BAD1;done
SABAD11371;BAD1;done
SABAD11372;BAD1;done
SABAD11373;BAD1;done
SABAD11375;BAD1;done
SABAD11377;BAD1;done
SABAD11374;BAD1;done
SABAD11376;BAD1;done
SABAD11384;BAD1;done
SABAD11385;BAD1;done
SBBAD19184;BAD1;done
SABAD11278;BAD1;done
SABAD11279;BAD1;done
SABAD11368;BAD1;done
SABAD11369;BAD1;done
SABAD11388;BAD1;done
SABAD11389;BAD1;done
SABAD11394;BAD1;done
SABAD11395;BAD1;done
SABAD11284;BAD1;done
SABAD11285;BAD1;done
SABAD11397;BAD1;done
SABAD11414;BAD1;done
SABAD11415;BAD1;done
SABAD11416;BAD1;done
SABAD11411;BAD1;done
SABAD11412;BAD1;done
SBBAD11290;BAD1;done
SBBAD11291;BAD1;done
SUBAD11501;BAD1;done
SABAD10961;BAD1;done
SABAD10962;BAD1;done
SABAD11289;BAD1;done
SABAD11434;BAD1;done
SABAD11307;BAD1;done
SABAD11443;BAD1;done
SABAD11444;BAD1;done
SABAD11445;BAD1;done
SABAD11446;BAD1;done
SABAD11447;BAD1;done
SABAD11448;BAD1;done
SABAD11254;BAD1;done
SBBAD19192;BAD1;done
SABAD11255;BAD1;done
SABAD11256;BAD1;done
SABAD11257;BAD1;done
SABAD11258;BAD1;done
SABAD11259;BAD1;done
SABAD11238;BAD1;done
SABAD11239;BAD1;done
SABAD11460;BAD1;ssh: Could not resolve hostname SABAD11460: Name or service not known
SABAD11461;BAD1;done
SABAD10011;BAD1;done
SABAD18241;BAD1;done
SABAD18242;BAD1;done
sabad18291;BAD1;done
sabad18292;BAD1;done
SABAD18243;BAD1;done
SABAD18244;BAD1;done
SABAD18293;BAD1;done
SABAD18245;BAD1;done
SABAD18246;BAD1;done
SABAD18247;BAD1;done
SABAD18248;BAD1;done
SABAD18249;BAD1;done
SABAD18250;BAD1;done
SABAD18251;BAD1;done
SABAD18294;BAD1;done
SABAD18252;BAD1;done
SABAD18253;BAD1;done
SABAD18254;BAD1;done
SABAD18255;BAD1;done
SABAD18256;BAD1;done
SABAD11441;BAD1;done
SABAD11467;BAD1;done
SABAD11470;BAD1;done
SABAD11471;BAD1;done
SABAD11904;BAD1;done
SABAD11315;BAD1;done
SBBAD10038;BAD1;done
SABAD11484;BAD1;done
SABAD11500;BAD1;ssh: Could not resolve hostname SABAD11500: Name or service not known
SBBAD19193;BAD1;done
SABAD11491;BAD1;done
SABAD11492;BAD1;done
SABAD11495;BAD1;done
SABAD18400;BAD1;done
SABAD18401;BAD1;done
SABAD18402;BAD1;done
SABAD18403;BAD1;done
SABAD18404;BAD1;done
SABAD18405;BAD1;done
SABAD18406;BAD1;done
SABAD18407;BAD1;done
SABAD18408;BAD1;done
SABAD18409;BAD1;done
SABAD18410;BAD1;done
SABAD18411;BAD1;done
SABAD18412;BAD1;done
SABAD18413;BAD1;done
SABAD18414;BAD1;done
SABAD18415;BAD1;done
SABAD18416;BAD1;done
SABAD18417;BAD1;done
SABAD18418;BAD1;done
SABAD18419;BAD1;done
SABAD18420;BAD1;done
SABAD18421;BAD1;done
SABAD18422;BAD1;done
SABAD18423;BAD1;done
SABAD18424;BAD1;done
SABAD18425;BAD1;done
SABAD18426;BAD1;done
SABAD18427;BAD1;done
SABAD18428;BAD1;done
SABAD18429;BAD1;done
SABAD18430;BAD1;done
SABAD18431;BAD1;done
SABAD18432;BAD1;done
SABAD18433;BAD1;done
SABAD18434;BAD1;done
SABAD18435;BAD1;done
SABAD18436;BAD1;done
SABAD18437;BAD1;done
SABAD18438;BAD1;done
SABAD18439;BAD1;done
SABAD18440;BAD1;done
SABAD18441;BAD1;done
SABAD18442;BAD1;done
SABAD18443;BAD1;done
SABAD18444;BAD1;done
SABAD18445;BAD1;done
SABAD18446;BAD1;done
SABAD18447;BAD1;done
SABAD18448;BAD1;done
SABAD11508;BAD1;done
SABAD11509;BAD1;done
SABAD11510;BAD1;done
SABAD11511;BAD1;done
SBBAD19186;BAD1;done
SABAD11530;BAD1;done
SABAD11531;BAD1;done
SABAD11532;BAD1;done
SABAD11489;BAD1;done
SABAD15206;BAD1;done
SABAD15207;BAD1;done
SABAD15209;BAD1;done
SABAD15210;BAD1;done
SABAD15208;BAD1;done
SABAD11535;BAD1;done
SABAD15014;BAD1;done
SABAD11504;BAD1;done
SABAD15201;BAD1;done
SABAD15022;BAD1;done
SABAD15023;BAD1;done
SABAD15024;BAD1;done
SABAD15025;BAD1;done
SABAD15026;BAD1;done
SABAD15027;BAD1;done
SABAD15028;BAD1;done
SABAD15029;BAD1;done
SABAD15030;BAD1;done
SABAD15031;BAD1;done
SABAD15032;BAD1;done
SABAD10128;BAD1;done
SABAD10126;BAD1;done
SABAD11517;BAD1;done
SABAD11518;BAD1;done
SABAD11519;BAD1;done
SABAD10673;BAD1;done
SABAD10674;BAD1;done
SABAD10212;BAD1;done
SABAD10213;BAD1;done
SABAD15751;BAD1;done
SABAD15021;BAD1;done
