Host;IP;Status;DateStatus
SABAD10365;10.238.141.165;10;20160210-182200
SABAD10670;10.238.15.87;10;20160210-182200
SABAD10671;10.238.15.73;10;20160210-182200
SABAD10699;10.238.15.197;10;20160210-182200
SABAD10762;10.238.15.67;10;20160210-182200
SABAD10782;10.238.15.56;10;20160210-182200
SABAD10940;10.238.127.20;10;20160210-182200
SABAD10952;10.238.11.55;10;20160210-182200
SABAD10956;10.238.11.119;10;20160210-182200
SABAD10957;10.238.11.120;10;20160210-182200
SABAD10972;10.238.15.175;10;20160210-182200
SABAD10975;10.238.15.178;10;20160210-182200
SABAD11026;10.238.15.147;10;20160210-182200
SABAD11038;10.238.41.41;10;20160210-182200
SABAD11039;10.238.41.42;10;20160210-182200
SABAD11050;10.238.37.41;10;20160210-182200
SABAD11051;10.238.37.42;10;20160210-182200
SACCH10425;10.239.14.9;10;20160210-182200
SABAD10942;10.238.206.175;1;20160215-125417
SACCH10440;10.239.25.214;1;20160215-125417
SABAD10945;10.238.206.178;1;20160215-125417
SALPT10111;10.18.1.127;1;20160215-125417
SABAD10134;10.128.30.205;0;20160215-170737
SABAD10135;10.128.30.206;0;20160215-170737
SABAD10186;10.128.30.243;0;20160215-170737
SABAD10187;10.128.30.242;0;20160215-170737
SABAD10402;10.238.125.220;0;20160215-170737
SABAD10403;10.238.125.221;0;20160215-170737
SABAD10404;10.238.125.222;0;20160215-170737
UGS-NEH;10.128.30.90;0;20160215-170737
SABAD19020;10.128.72.252;0;20160215-170737
SABAD19080;10.128.78.67;0;20160215-170737
SALPT10102;10.18.1.102;0;20160215-170737
SNCCH10906;10.17.32.10;0;20160215-170737
sabad11173;10.238.196.173;1;20160215-170737
SABAD11174;10.238.196.174;1;20160215-170737
SABAD11177;10.238.40.77;1;20160215-170737
sabad11178;10.238.40.78;1;20160215-170737
SFRUG15017;10.39.0.157;1;20160215-170737
SUQHP10276;10.83.2.80;1;20160215-170737
SUSAO10275;10.81.129.135;1;20160215-170737
SUTRC1PLM1;10.92.0.30;1;20160215-170737
SABAD11086;10.238.196.86;1;20160215-170737
SABAD11124;10.238.196.58;1;20160215-170737
SABAD11125;10.238.196.59;1;20160215-170737
SABAD11148;10.238.206.129;1;20160215-170737
SABAD11150;10.238.196.66;1;20160215-170737
SABAD11151;10.238.196.67;1;20160215-170737
SABAD11184;10.238.14.81;1;20160215-170737
SABAD11185;10.238.127.252;1;20160215-170737
SUBDQ20060;10.107.148.99;1;20160215-170737
SATSN15023;10.99.146.36;1;20160215-170737
SABAD11188;10.238.196.88;1;20160215-170737
SNCCH10036;10.18.0.173;2;20160216-164554
SABAD10963;10.238.126.184;1;20160216-164554
SABAD10964;10.238.126.185;1;20160216-164554
SABAD10967;10.238.126.188;1;20160216-164554
SABAD10597;10.238.125.197;1;20160216-164554
SABAD10867;10.238.127.62;1;20160216-164554
SABAD10129;10.238.126.129;1;20160216-164554
